CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Turkey,6,1-Jun,0.0661,0.0661,0.0661,0.198,24,12,36,67.88,32.12,1190,0.641,0.806,20,75,304.8,105,ACSR,0.641,0.002103018,0.002644357,1,0.01,0.03246709,2.142685371,0.156440849,5.33E-09
Swan,4,1-Jun,0.0834,0.0834,0.0834,0.25,39,18,57,67.87,32.12,1860,0.403,0.515,20,75,304.8,140,ACSR,0.403,0.001322178,0.001689633,1,0.01,0.028205871,2.129691404,0.157116946,1.50E-08
Swanate,4,1-Jul,0.0772,0.103,0.103,0.257,39,28,67,58.1,41.9,2360,0.399,0.519,20,75,304.8,140,ACSR,0.399,0.001309055,0.001702756,1,0.01,0.026441301,2.123026358,0.156866013,2.48E-10
Sparrow,2,1-Jun,0.1052,0.1052,0.1052,0.316,62,29,91,67.9,32.1,2850,0.254,0.332,20,75,304.8,184,ACSR,0.254,0.000833333,0.001089239,1,0.01,0.023585343,2.111902252,0.157291144,1.51E-09
Sparate,2,1-Jul,0.0974,0.1298,0.1298,0.325,62,45,107,58.12,41.88,3460,0.251,0.338,20,75,304.8,184,ACSR,0.251,0.000823491,0.001108924,1,0.01,0.021535797,2.102497627,0.156603833,2.27E-09
Robin,1,1-Jun,0.1181,0.1181,0.1181,0.354,78,37,115,67.88,32.12,3550,0.201,0.268,20,75,304.8,212,ACSR,0.201,0.000659449,0.000879265,1,0.01,0.021427727,2.102294846,0.156973479,9.96E-09
Raven,0,1-Jun,0.1327,0.1327,0.1327,0.398,99,47,145,67.89,32.11,4380,0.159,0.217,20,75,304.8,242,ACSR,0.159,0.000521654,0.000711942,1,0.01,0.01888628,2.089773785,0.156603042,3.72E-09
Quail,0,1-Jun,0.1489,0.1489,0.1489,0.447,124,59,183,67.88,32.12,5310,0.126,0.176,20,75,304.8,276,ACSR,0.126,0.000413386,0.000577428,1,0.01,0.016609833,2.077150876,0.155985108,2.22E-09
Pigeon,0,1-Jun,0.1672,0.1672,0.1672,0.502,156,74,230,67.87,32.13,6620,0.1,0.144,20,75,304.8,315,ACSR,0.1,0.000328084,0.000472441,1,0.01,0.014355901,2.063015087,0.236230401,1.88E-09
Penguin,0,1-Jun,0.1878,0.1878,0.1878,0.563,197,93,291,67.88,32.12,8350,0.0795,0.119,20,75,304.8,357,ACSR,0.0795,0.000260827,0.00039042,1,0.01,0.011924404,2.045188532,0.432349889,8.02E-09
Waxwing,266.8,18/1,0.1217,0.1217,0.1217,0.609,250,39,289,86.43,13.57,6880,0.0643,0.0787,20,75,304.8,449,ACSR,0.0643,0.000210958,0.000258202,1,0.01,0.020685012,2.100370654,0.159113783,5.93E-09
Partridge,266.8,26/7,0.1013,0.0788,0.2363,0.642,251,115,367,68.51,31.49,11300,0.0637,0.0779,20,75,304.8,475,ACSR,0.0637,0.00020899,0.000255577,1,0.01,0.02172909,2.10523897,0.159162688,2.46E-09
Ostrich,300,26/7,0.1074,0.0835,0.2506,0.68,283,130,412,68.51,31.49,12700,0.0567,0.0693,20,75,304.8,492,ACSR,0.0567,0.000186024,0.000227362,1,0.01,0.019703609,2.095725786,0.159226627,6.17E-09
Merlin,336.4,18/1,0.1367,0.1367,0.1367,0.684,315,49,365,86.43,13.57,8680,0.051,0.0625,20,75,304.8,519,ACSR,0.051,0.000167323,0.000205052,1,0.01,0.019535739,2.094828019,0.159183324,2.24E-09
Linnet,336.4,26/7,0.1137,0.0885,0.2654,0.72,317,146,462,68.51,31.49,14100,0.0505,0.0618,20,75,304.8,529,ACSR,0.0505,0.000165682,0.000202756,1,0.01,0.01915132,2.092902376,0.159141841,3.73E-09
Oriole,336.4,30/7,0.1059,0.1059,0.3177,0.741,318,209,526,60.35,39.65,17300,0.0502,0.0613,20,75,304.8,535,ACSR,0.0502,0.000164698,0.000201115,1,0.01,0.018989437,2.092091247,0.159194341,1.74E-09
Chickadee,397.5,18/1,0.1486,0.1486,0.1486,0.743,373,58,431,86.43,13.57,9940,0.0432,0.0529,20,75,304.8,576,ACSR,0.0432,0.000141732,0.000173556,1,0.01,0.018820238,2.091189716,0.15915329,2.86E-09
Brant,397.5,24/7,0.1287,0.0858,0.2574,0.772,374,137,511,73.21,26.79,14600,0.043,0.0526,20,75,304.8,584,ACSR,0.043,0.000141076,0.000172572,1,0.01,0.018574784,2.089889314,0.159081759,1.47E-09
Ibis,397.5,26/7,0.1236,0.0962,0.2885,0.783,374,172,546,68.51,31.49,16300,0.0428,0.0523,20,75,304.8,587,ACSR,0.0428,0.00014042,0.000171588,1,0.01,0.018451606,2.089267133,0.159098129,6.07E-09
Lark,397.5,30/7,0.1151,0.1151,0.3453,0.806,375,247,622,60.35,39.65,20300,0.0425,0.0519,20,75,304.8,594,ACSR,0.0425,0.000139436,0.000170276,1,0.01,0.018253588,2.088302387,0.159291363,4.71E-09
Pelican,477,18/1,0.1628,0.1628,0.1628,0.814,447,70,517,86.44,13.56,11800,0.036,0.0442,20,75,304.8,646,ACSR,0.036,0.00011811,0.000145013,1,0.01,0.017974717,2.086687698,0.159049301,3.95E-10
Flicker,477,24/7,0.141,0.094,0.2819,0.846,449,164,614,73.21,26.79,17200,0.0358,0.0439,20,75,304.8,655,ACSR,0.0358,0.000117454,0.000144029,1,0.01,0.017726356,2.08531544,0.159086114,7.50E-09
Hawk,477,26/7,0.1354,0.1053,0.316,0.858,449,207,656,68.51,31.49,19500,0.0356,0.0436,20,75,304.8,659,ACSR,0.0356,0.000116798,0.000143045,1,0.01,0.017631587,2.084832807,0.159075407,2.63E-09
Hen,477,30/7,0.1261,0.1261,0.3783,0.883,450,296,746,60.35,39.65,23800,0.0354,0.0433,20,75,304.8,666,ACSR,0.0354,0.000116142,0.00014206,1,0.01,0.017442272,2.083803809,0.159159051,1.00E-08
Osprey,556.5,18/1,0.1758,0.1758,0.1758,0.879,522,82,603,86.43,13.57,13700,0.0308,0.0379,20,75,304.8,711,ACSR,0.0308,0.00010105,0.000124344,1,0.01,0.017227779,2.082597739,0.159167603,8.65E-09
Parakeet,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,73.21,26.79,19800,0.0307,0.0376,20,75,304.8,721,ACSR,0.0307,0.000100722,0.00012336,1,0.01,0.017108976,2.081877245,0.169865455,1.06E-09
Dove,556.5,26/7,0.1463,0.1138,0.3413,0.927,524,241,765,68.51,31.49,22600,0.0306,0.0375,20,75,304.8,726,ACSR,0.0306,0.000100394,0.000123031,1,0.01,0.017036173,2.081514325,0.172913535,1.00E-08
Eagle,556.5,30/7,0.1362,0.1362,0.4086,0.953,525,345,871,60.35,39.65,27800,0.0303,0.0372,20,75,304.8,734,ACSR,0.0303,9.94E-05,0.000122047,1,0.01,0.016740303,2.079752283,0.221521387,8.07E-09
Peacock,605,24/7,0.1588,0.1059,0.3177,0.953,570,209,779,73.2,26.8,21600,0.0282,0.0346,20,75,304.8,760,ACSR,0.0282,9.25E-05,0.000113517,1,0.01,0.016720259,2.079675691,0.226975223,9.24E-09
Squab,605,26/7,0.1525,0.1186,0.3559,0.966,570,262,832,68.51,31.49,24300,0.0281,0.0345,20,75,304.8,765,ACSR,0.0281,9.22E-05,0.000113189,1,0.01,0.016640893,2.079220468,0.196455102,1.29E-09
Wood_Duck,605,30/7,0.142,0.142,0.426,0.994,571,375,946,60.35,39.65,28900,0.0279,0.0342,20,75,304.8,774,ACSR,0.0279,9.15E-05,0.000112205,1,0.01,0.016484015,2.078323484,0.21663152,3.53E-09
Teal,605,30/19,0.142,0.0852,0.426,0.994,571,367,939,60.86,39.14,30000,0.0279,0.0342,20,75,304.8,773,ACSR,0.0279,9.15E-05,0.000112205,1,0.01,0.016443343,2.078048542,0.278090656,3.79E-09
Kingbird,636,18/1,0.188,0.188,0.188,0.94,596,94,690,86.43,13.57,15700,0.027,0.0332,20,75,304.8,773,ACSR,0.027,8.86E-05,0.000108924,1,0.01,0.016734008,2.079759282,0.184890934,3.46E-09
Swift,636,36/1,0.1329,0.1329,0.1329,0.93,596,47,643,92.72,7.28,13690,0.0271,0.0334,20,75,304.8,769,ACSR,0.0271,8.89E-05,0.00010958,1,0.01,0.016741874,2.079727528,0.205158879,1.91E-09
Rook,636,24/7,0.1628,0.1085,0.3256,0.977,599,219,818,73.22,26.78,22600,0.0268,0.033,20,75,304.8,784,ACSR,0.0268,8.79E-05,0.000108268,1,0.01,0.016418902,2.07790054,0.1826642,1.69E-09
Grosbeak,636,26/7,0.1564,0.1216,0.3649,0.991,599,275,874,68.51,31.49,25200,0.0267,0.0328,20,75,304.8,789,ACSR,0.0267,8.76E-05,0.000107612,1,0.01,0.016392454,2.077720579,0.177252534,2.33E-09
Scoter,636,30/7,0.1456,0.1456,0.4368,1.019,600,395,995,60.35,39.65,30400,0.0256,0.0325,20,75,304.8,798,ACSR,0.0256,8.40E-05,0.000106627,1,0.01,0.01490773,2.068264122,0.35499044,1.37E-09
Egret,636,30/19,0.1456,0.0874,0.4368,1.019,600,386,987,60.85,39.15,31500,0.0266,0.0326,20,75,304.8,798,ACSR,0.0266,8.73E-05,0.000106955,1,0.01,0.016308869,2.07725402,0.312477559,1.47E-09
Flamingo,666.6,24/7,0.1667,0.1111,0.3333,1,628,230,858,73.21,26.79,23700,0.0256,0.0315,20,75,304.8,807,ACSR,0.0256,8.40E-05,0.000103346,1,0.01,0.016260244,2.076928952,0.195724721,7.87E-10
Gannet,666.6,26/7,0.1601,0.1245,0.3736,1.014,628,289,916,68.51,31.49,26400,0.0255,0.0313,20,75,304.8,812,ACSR,0.0255,8.37E-05,0.00010269,1,0.01,0.01623336,2.076827214,0.241323974,3.16E-10
Stilt,715.5,24/7,0.1727,0.1151,0.3453,1.036,674,247,920,73.21,26.79,25500,0.0239,0.0294,20,75,304.8,844,ACSR,0.0239,7.84E-05,9.65E-05,1,0.01,0.016044242,2.075642254,0.258447465,2.59E-09
Starling,715.5,26/7,0.1659,0.129,0.3871,1.051,674,310,984,68.51,31.49,28400,0.0238,0.0292,20,75,304.8,849,ACSR,0.0238,7.81E-05,9.58E-05,1,0.01,0.016002027,2.075410968,0.185837688,4.52E-10
Redwing,715.5,30/19,0.1544,0.0927,0.4633,1.081,676,435,1110,60.85,39.15,34600,0.0236,0.029,20,75,304.8,859,ACSR,0.0236,7.74E-05,9.51E-05,1,0.01,0.015766189,2.073977869,0.571068146,8.66E-10
Coot,795,36/1,0.1486,0.1486,0.1486,1.04,745,58,804,92.72,7.28,16710,0.0217,0.0268,20,75,304.8,884,ACSR,0.0217,7.12E-05,8.79E-05,1,0.01,0.015832632,2.074356086,0.223732582,1.51E-09
Drake,795,26/7,0.1749,0.136,0.408,1.107,749,344,1093,68.51,31.49,31500,0.0214,0.0263,20,75,304.8,907,ACSR,0.0214,7.02E-05,8.63E-05,1,0.023333333,0.050407169,2.133291422,0.134582251,1.31E-09
Tern,795,45/7,0.1329,0.0886,0.2658,1.063,749,146,895,83.67,16.33,22100,0.0216,0.0269,20,75,304.8,887,ACSR,0.0216,7.09E-05,8.83E-05,1,0.01,0.015345527,2.071269612,0.317551323,1.06E-09
Condor,795,54/7,0.1213,0.1213,0.364,1.092,749,274,1023,73.21,26.79,28200,0.0215,0.0272,20,75,304.8,889,ACSR,0.0215,7.05E-05,8.92E-05,1,0.01,0.014597033,2.066283044,0.884109123,1.61E-09
Mallard,795,30/19,0.1628,0.0977,0.4884,1.14,751,483,1234,60.86,39.14,38400,0.0213,0.0261,20,75,304.8,918,ACSR,0.0213,6.99E-05,8.56E-05,1,0.023333333,0.049795802,2.132601039,0.134877114,7.57E-10
Ruddy,900,45/7,0.1414,0.0943,0.2828,1.131,848,165,1013,83.67,16.33,24400,0.0191,0.0239,20,75,304.8,958,ACSR,0.0191,6.27E-05,7.84E-05,1,0.023333333,0.049893368,2.130575465,0.134959873,9.14E-10
Canary,900,54/7,0.1291,0.1291,0.3873,1.162,848,310,1158,73.22,26.78,31900,0.019,0.0241,20,75,304.8,961,ACSR,0.019,6.23E-05,7.91E-05,1,0.023333333,0.04919009,2.12675819,0.13528123,8.00E-10
Rail,954,45/7,0.1456,0.0971,0.2912,1.165,899,175,1074,83.67,16.33,25900,0.018,0.0225,20,75,304.8,993,ACSR,0.018,5.91E-05,7.38E-05,1,0.023333333,0.050440434,2.129427656,0.135100941,1.89E-09
Cardinal,954,54/7,0.1329,0.1329,0.3987,1.196,899,329,1227,73.21,26.79,33800,0.0179,0.0228,20,75,304.8,996,ACSR,0.0179,5.87E-05,7.48E-05,1,0.023333333,0.049863626,2.124880368,0.135349433,1.44E-09
Ortolan,1033.5,45/7,0.1515,0.101,0.3031,1.212,973,190,1163,83.67,16.33,27700,0.0167,0.0209,20,75,304.8,1043,ACSR,0.0167,5.48E-05,6.86E-05,1,0.023333333,0.049687145,2.128018975,0.135312575,8.09E-10
Curlew,1033.5,54/7,0.1383,0.1383,0.415,1.245,973,356,1330,73.21,26.79,36600,0.0165,0.0211,20,75,304.8,1047,ACSR,0.0165,5.41E-05,6.92E-05,1,0.023333333,0.05025735,2.12269436,0.135675959,5.84E-09
Bluejay,1113,45/7,0.1573,0.1048,0.3145,1.258,1048,205,1253,83.67,16.33,29800,0.0155,0.0194,20,75,304.8,1092,ACSR,0.0155,5.09E-05,6.36E-05,1,0.023333333,0.050137841,2.126454992,0.135428332,6.01E-09
Finch,1113,54/19,0.1436,0.0861,0.4307,1.292,1053,375,1429,73.72,26.28,39100,0.0154,0.0197,20,75,304.8,1093,ACSR,0.0154,5.05E-05,6.46E-05,1,0.023333333,0.050593852,2.121115421,0.135784235,4.86E-09
Bunting,1192.5,45/7,0.1628,0.1085,0.3256,1.302,1123,219,1343,83.67,16.33,32000,0.0144,0.0182,20,75,304.8,1139,ACSR,0.0144,4.72E-05,5.97E-05,1,0.023333333,0.049287263,2.123342319,0.135625848,2.98E-09
Grackle,1192.5,54/19,0.1486,0.0892,0.4458,1.337,1129,402,1531,73.72,26.28,41900,0.0144,0.0184,20,75,304.8,1140,ACSR,0.0144,4.72E-05,6.04E-05,1,0.023333333,0.049724585,2.11989985,0.135892103,5.63E-09
Bittern,1272,45/7,0.1681,0.1121,0.3362,1.345,1198,234,1432,83.67,16.33,34100,0.0135,0.0171,20,75,304.8,1184,ACSR,0.0135,4.43E-05,5.61E-05,1,0.023333333,0.049757138,2.121624177,0.135952603,1.54E-09
Pheasant,1272,54/19,0.1535,0.0921,0.4605,1.381,1204,429,1633,73.71,26.29,43600,0.0135,0.0173,20,75,304.8,1187,ACSR,0.0135,4.43E-05,5.68E-05,1,0.023333333,0.050296732,2.118326792,0.136150383,5.60E-10
Dipper,1351.5,45/7,0.1733,0.1155,0.3466,1.386,1273,248,1521,83.67,16.33,36200,0.0127,0.0162,20,75,304.8,1229,ACSR,0.0127,4.17E-05,5.31E-05,1,0.023333333,0.050443628,2.119324191,0.136112083,9.25E-10
Martin,1351.5,54/19,0.1582,0.0949,0.4746,1.424,1279,456,1735,73.72,26.28,46300,0.0127,0.0163,20,75,304.8,1232,ACSR,0.0127,4.17E-05,5.35E-05,1,0.023333333,0.050748806,2.116769681,0.136225509,6.16E-09
Bobolink,1431,45/7,0.1783,0.1189,0.3566,1.427,1348,263,1611,83.67,16.33,38300,0.012,0.0153,20,75,304.8,1272,ACSR,0.012,3.94E-05,5.02E-05,1,0.023333333,0.049602723,2.118045342,0.136093747,8.23E-09
Lapwing,1590,45/7,0.188,0.1253,0.3759,1.504,1498,292,1790,83.67,16.33,42200,0.0108,0.0139,20,75,304.8,1354,ACSR,0.0108,3.54E-05,4.56E-05,1,0.023333333,0.050654703,2.114246771,0.136471242,2.89E-09
Falcon,1590,54/19,0.1716,0.103,0.5148,1.544,1505,536,2041,73.72,26.28,54500,0.0108,0.014,20,75,304.8,1359,ACSR,0.0108,3.54E-05,4.59E-05,1,0.023333333,0.050938702,2.11172624,0.136672809,3.99E-09
Chukar,1780,84/19,0.1456,0.0874,0.4368,1.602,1685,386,2072,81.35,18.65,51000,0.0097,0.0125,20,75,304.8,1453,ACSR,0.0097,3.18E-05,4.10E-05,1,0.023333333,0.05042663,2.111817626,0.136826265,9.19E-10
Bluebird,2156,84/19,0.1602,0.0962,0.4808,1.762,2040,468,2508,81.34,18.66,60300,0.00801,0.0105,20,75,304.8,1623,ACSR,0.00801,2.63E-05,3.44E-05,1,0.023333333,0.051865101,2.104281381,0.137387158,2.15E-09
Kiwi,2167,72/7,0.1735,0.1157,0.347,1.735,2051,249,2300,89.17,10.82,49800,0.00801,0.0106,20,75,304.8,1607,ACSR,0.00801,2.63E-05,3.48E-05,1,0.023333333,0.052537945,2.102469913,0.137304885,1.41E-09
Partridge/ACSS,266.8,26/7,0.1013,0.0788,0.2363,0.642,251.3,115.5,366.8,8880,9730,11400,0.0619,0.0761,20,75,304.8,812,ACSS,0.0619,0.000203084,0.000249672,1,0.01,0.050586663,2.178342218,0.155951315,3.53E-09
Junco/ACSS,266.8,30/7,0.0943,0.0943,0.2829,0.66,251.9,165.5,417.4,11700,13000,15200,0.0615,0.0756,20,75,304.8,822,ACSS,0.0615,0.000201772,0.000248031,1,0.01,0.04865703,2.177555593,0.155988686,5.09E-09
Ostrich/ACSS,300,26/7,0.1074,0.0835,0.2506,0.68,282.6,129.9,412.5,10000,10900,12800,0.0551,0.0677,20,75,304.8,877,ACSS,0.0551,0.000180774,0.000222113,1,0.01,0.051112966,2.176847091,0.156023571,7.10E-09
Linnet/ACSS,336.4,26/7,0.1137,0.0885,0.2654,0.72,316.8,145.7,462.5,11200,12300,14400,0.0491,0.0604,20,75,304.8,945,ACSS,0.0491,0.000161089,0.000198163,1,0.01,0.051385733,2.175176967,0.156099781,2.58E-09
Oriole/ACSS,336.4,30/7,0.1059,0.1059,0.3177,0.741,317.6,208.7,526.3,14800,16300,19100,0.0488,0.06,20,75,304.8,957,ACSS,0.0488,0.000160105,0.00019685,1,0.01,0.050937627,2.174299378,0.156110844,5.80E-09
Brant/ACSS,397.5,24/7,0.1287,0.0858,0.2574,0.772,374.4,137,511.4,11000,12100,14100,0.0417,0.0514,20,75,304.8,1047,ACSS,0.0417,0.000136811,0.000168635,1,0.01,0.051305367,2.173093097,0.156179589,9.03E-10
Ibis/ACSS,397.5,26/7,0.1236,0.0962,0.2885,0.783,374.4,172.1,546.5,13000,14200,16500,0.0416,0.0512,20,75,304.8,1054,ACSS,0.0416,0.000136483,0.000167979,1,0.01,0.052568543,2.172774423,0.156204315,5.47E-09
Lark/ACSS,397.5,30/7,0.1151,0.1151,0.3453,0.806,375.3,246.5,621.8,17500,19300,22600,0.0413,0.0508,20,75,304.8,1068,ACSS,0.0413,0.000135499,0.000166667,1,0.01,0.052123,2.172086419,0.156290687,5.65E-09
Flicker/ACSS,477,24/7,0.141,0.094,0.2819,0.846,449.3,164.4,613.7,13000,14200,16400,0.0348,0.0429,20,75,304.8,1180,ACSS,0.0348,0.000114173,0.000140748,1,0.01,0.052239689,2.170598198,0.156301931,4.99E-09
Hawk/ACSS,477,26/7,0.1354,0.1053,0.316,0.858,449.3,206.5,655.8,15600,17100,19800,0.0346,0.0427,20,75,304.8,1188,ACSS,0.0346,0.000113517,0.000140092,1,0.01,0.051848313,2.170318886,0.156280237,1.21E-09
Hen/ACSS,477,30/7,0.1261,0.1261,0.3783,0.883,450.4,295.9,746.3,21000,22700,26700,0.0344,0.0424,20,75,304.8,1204,ACSS,0.0344,0.000112861,0.000139108,1,0.01,0.05156468,2.169552416,0.156357986,8.95E-10
Parakeet/ACSS,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,15200,16600,19100,0.0298,0.0368,20,75,304.8,1306,ACSS,0.0298,9.78E-05,0.000120735,1,0.01,0.050684537,2.168373723,0.156371789,7.34E-09
Dove/ACSS,556.5,26/7,0.1463,0.1138,0.3413,0.927,524.2,240.9,765.1,18200,19900,23200,0.0297,0.0366,20,75,304.8,1315,ACSS,0.0297,9.74E-05,0.000120079,1,0.01,0.050658498,2.168354088,0.156384522,7.80E-09
