CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Helens/TW,1123.1,<undefined>,NaN,NaN,NaN,1.1,NaN,NaN,1056,NaN,NaN,19700,0.0154,0.0194,25,75,304.8,1055,AACTW,0.0154,5.05E-05,6.36E-05,1,0.023333333,0.050246564,2.124411241,0.135175725,5.82E-10
Baker/TW,1346.8,<undefined>,NaN,NaN,NaN,1.2,NaN,NaN,1267,NaN,NaN,23600,0.0128,0.0164,25,75,304.8,1175,AACTW,0.0128,4.20E-05,5.38E-05,1,0.023333333,0.050485818,2.116940009,0.135577646,1.18E-09
Hood/TW,1583.2,<undefined>,NaN,NaN,NaN,1.3,NaN,NaN,1489,NaN,NaN,27200,0.0109,0.0141,25,75,304.8,1292,AACTW,0.0109,3.58E-05,4.63E-05,1,0.023333333,0.050403381,2.111307974,0.136088773,3.08E-09
Whitney/TW,1812.7,<undefined>,NaN,NaN,NaN,1.4,NaN,NaN,1713,NaN,NaN,31100,0.0095,0.0125,25,75,304.8,1398,AACTW,0.0095,3.12E-05,4.10E-05,1,0.023333333,0.050612316,2.103847848,0.1365957,1.41E-09
Powell/TW,2093.6,<undefined>,NaN,NaN,NaN,1.5,NaN,NaN,1978,NaN,NaN,35900,0.0083,0.0112,25,75,304.8,1508,AACTW,0.0083,2.72E-05,3.67E-05,1,0.023333333,0.04817152,2.094560607,0.137032353,2.85E-09
Jefferson/TW,2388.1,<undefined>,NaN,NaN,NaN,1.6,NaN,NaN,2256,NaN,NaN,40100,0.0073,0.01,25,75,304.8,1618,AACTW,0.0073,2.40E-05,3.28E-05,1,0.023333333,0.044141035,2.087177497,0.137403434,6.39E-10
Shasta/TW,2667.2,<undefined>,NaN,NaN,NaN,1.7,NaN,NaN,2528,NaN,NaN,45200,0.0065,0.0092,25,75,304.8,1718,AACTW,0.0065,2.13E-05,3.02E-05,1,0.023333333,0.038183245,2.074801686,0.137633883,1.31E-09
Adams/TW,3006.2,<undefined>,NaN,NaN,NaN,1.8,NaN,NaN,2848,NaN,NaN,51000,0.0059,0.0085,25,75,304.8,1818,AACTW,0.0059,1.94E-05,2.79E-05,1,0.023333333,0.034769751,2.066848486,0.137642731,8.37E-11
Partridge/TW,266.8,<undefined>,NaN,NaN,0.2364,0.595,250,116,366,NaN,NaN,11200,0.3356,0.4103,20,75,1609.34,449,ACSRTW,0.3356,0.000208533,0.000254949,1,0.01,0.020949988,2.101685743,0.159169113,8.23E-09
Linnet/TW,336.4,<undefined>,NaN,NaN,0.2655,0.667,316,146,462,NaN,NaN,14000,0.2662,0.3255,20,75,1609.34,519,ACSRTW,0.2662,0.000165409,0.000202257,1,0.01,0.019855087,2.096391748,0.159083022,6.95E-10
Oriole/TW,336.4,<undefined>,NaN,NaN,0.3177,0.693,317,209,526,NaN,NaN,17100,0.265,0.3239,20,75,1609.34,525,ACSRTW,0.265,0.000164664,0.000201263,1,0.01,0.019495949,2.094675015,0.159220494,2.39E-09
Merlin/TW,336.4,<undefined>,NaN,NaN,0.1367,0.63,315,50,365,NaN,NaN,8560,0.2693,0.3298,20,75,1609.34,508,ACSRTW,0.2693,0.000167336,0.000204929,1,0.01,0.020304202,2.098635862,0.159167056,2.54E-09
Flicker/TW,477,<undefined>,NaN,NaN,0.282,0.776,448,165,613,NaN,NaN,17200,0.1884,0.2308,20,75,1609.34,641,ACSRTW,0.1884,0.000117067,0.000143413,1,0.01,0.018439285,2.089207944,0.159111158,1.12E-09
Hawk/TW,477,<undefined>,NaN,NaN,0.3159,0.789,449,206,655,NaN,NaN,19400,0.1877,0.2299,20,75,1609.34,645,ACSRTW,0.1877,0.000116632,0.000142854,1,0.01,0.018305825,2.088536893,0.159241547,2.86E-09
Hen/TW,477,<undefined>,NaN,NaN,0.3783,0.82,450,296,746,NaN,NaN,23600,0.1869,0.2287,20,75,1609.34,653,ACSRTW,0.1869,0.000116135,0.000142108,1,0.01,0.018016379,2.087016763,0.159214716,2.86E-09
Parakeet/TW,556.5,<undefined>,NaN,NaN,0.3045,0.835,523,192,715,NaN,NaN,20000,0.1615,0.198,20,75,1609.34,707,ACSRTW,0.1615,0.000100352,0.000123032,1,0.01,0.017876198,2.086203806,0.159145844,1.93E-09
Dove/TW,556.5,<undefined>,NaN,NaN,0.3414,0.852,524,241,765,NaN,NaN,22600,0.1609,0.1973,20,75,1609.34,711,ACSRTW,0.1609,1.00E-04,0.000122597,1,0.01,0.017658064,2.085000616,0.159154007,7.65E-09
Swift/TW,636,<undefined>,NaN,NaN,0.1329,0.85,599,47,646,NaN,NaN,13500,0.1435,0.1821,20,75,1609.34,740,ACSRTW,0.1435,8.92E-05,0.000113152,1,0.01,0.016261701,2.076636856,0.180038641,1.89E-09
Rook/TW,636,<undefined>,NaN,NaN,0.3255,0.89,597,219,816,NaN,NaN,22900,0.1413,0.1735,20,75,1609.34,767,ACSRTW,0.1413,8.78E-05,0.000107808,1,0.01,0.017259051,2.082753872,0.161099839,4.57E-09
Scoter/TW,636,<undefined>,NaN,NaN,0.4368,0.942,600,395,995,NaN,NaN,30400,0.1398,0.1714,20,75,1609.34,783,ACSRTW,0.1398,8.69E-05,0.000106503,1,0.01,0.016869917,2.080602205,0.182753101,1.85E-09
Grosbeak/TW,636,<undefined>,NaN,NaN,0.3648,0.908,599,275,873,NaN,NaN,25400,0.1408,0.1728,20,75,1609.34,772,ACSRTW,0.1408,8.75E-05,0.000107373,1,0.01,0.017098043,2.081837844,0.187626566,6.64E-09
Tern/TW,795,<undefined>,NaN,NaN,0.2658,0.96,746,146,892,NaN,NaN,21000,0.1138,0.1405,20,75,1609.34,869,ACSRTW,0.1138,7.07E-05,8.73E-05,1,0.01,0.016441874,2.078015426,0.196386971,1.56E-09
Puffin/TW,795,<undefined>,NaN,NaN,0.3324,0.98,747,228,975,NaN,NaN,25900,0.1133,0.1397,20,75,1609.34,876,ACSRTW,0.1133,7.04E-05,8.68E-05,1,0.01,0.016332757,2.077364384,0.210782849,2.49E-09
Condor/TW,795,<undefined>,NaN,NaN,0.3639,0.993,747,274,1021,NaN,NaN,28200,0.113,0.1392,20,75,1609.34,880,ACSRTW,0.113,7.02E-05,8.65E-05,1,0.01,0.016250453,2.076871315,0.280413259,3.05E-09
Drake/TW,795,<undefined>,NaN,NaN,0.408,1.01,748,344,1092,NaN,NaN,31800,0.1126,0.1386,20,75,1609.34,886,ACSRTW,0.1126,7.00E-05,8.61E-05,1,0.01,0.01616144,2.07635738,0.182550846,1.69E-09
Phoenix/TW,954,<undefined>,NaN,NaN,0.2511,1.044,898,131,1029,NaN,NaN,23700,0.0954,0.1217,20,75,1609.34,956,ACSRTW,0.0954,5.93E-05,7.56E-05,1,0.01,0.014633463,2.066469199,0.241311773,1.89E-09
Rail/TW,954,<undefined>,NaN,NaN,0.2913,1.061,900,175,1075,NaN,NaN,25900,0.0953,0.1214,20,75,1609.34,960,ACSRTW,0.0953,5.92E-05,7.54E-05,1,0.01,0.014543039,2.065893571,0.2289445,1.58E-09
Cardinal/TW,954,<undefined>,NaN,NaN,0.3987,1.084,897,329,1226,NaN,NaN,33500,0.0942,0.1164,20,75,1609.34,985,ACSRTW,0.0942,5.85E-05,7.23E-05,1,0.01,0.015507813,2.072306537,0.661574022,1.30E-09
Snowbird/TW,1033.5,<undefined>,NaN,NaN,0.2613,1.089,974,141,1115,NaN,NaN,25700,0.088,0.1126,20,75,1609.34,1004,ACSRTW,0.088,5.47E-05,7.00E-05,1,0.01,0.014218757,2.063645146,0.401113459,1.35E-09
Ortolan/TW,1033.5,<undefined>,NaN,NaN,0.303,1.102,975,190,1165,NaN,NaN,28100,0.0879,0.1123,20,75,1609.34,1008,ACSRTW,0.0879,5.46E-05,6.98E-05,1,0.023333333,0.05028656,2.126998392,0.135021778,5.69E-10
Curlew/TW,1033.5,<undefined>,NaN,NaN,0.4149,1.129,971,356,1327,NaN,NaN,36300,0.0869,0.1077,20,75,1609.34,1035,ACSRTW,0.0869,5.40E-05,6.69E-05,1,0.023333333,0.049863104,2.131797455,0.134895531,4.69E-09
Avocet/TW,1113,<undefined>,NaN,NaN,0.2712,1.129,1049,152,1201,NaN,NaN,27500,0.0818,0.1048,20,75,1609.34,1050,ACSRTW,0.0818,5.08E-05,6.51E-05,1,0.023333333,0.049693865,2.12552678,0.135256343,3.75E-09
Bluejay/TW,1113,<undefined>,NaN,NaN,0.3147,1.143,1049,205,1254,NaN,NaN,30300,0.0816,0.1045,20,75,1609.34,1055,ACSRTW,0.0816,5.07E-05,6.49E-05,1,0.023333333,0.049420424,2.125091184,0.135233162,8.67E-10
Finch/TW,1113,<undefined>,NaN,NaN,0.431,1.185,1053,376,1429,NaN,NaN,39100,0.0812,0.1035,20,75,1609.34,1071,ACSRTW,0.0812,5.05E-05,6.43E-05,1,0.023333333,0.050017811,2.125017098,0.135457151,5.20E-09
Oxbird/TW,1192.5,<undefined>,NaN,NaN,0.2808,1.167,1123,163,1286,NaN,NaN,29500,0.0763,0.0981,20,75,1609.34,1095,ACSRTW,0.0763,4.74E-05,6.10E-05,1,0.023333333,0.050207959,2.123548589,0.135342665,5.04E-09
Bunting/TW,1192.5,<undefined>,NaN,NaN,0.3255,1.181,1124,219,1343,NaN,NaN,32400,0.0762,0.0978,20,75,1609.34,1100,ACSRTW,0.0762,4.73E-05,6.08E-05,1,0.023333333,0.049941333,2.123418061,0.135371884,3.27E-09
Grackel/TW,1192.5,<undefined>,NaN,NaN,0.446,1.225,1127,403,1530,NaN,NaN,41900,0.0758,0.0968,20,75,1609.34,1117,ACSRTW,0.0758,4.71E-05,6.01E-05,1,0.023333333,0.050531785,2.123291047,0.135440019,3.52E-09
Scissortail/TW,1272,<undefined>,NaN,NaN,0.2901,1.203,1198,174,1372,NaN,NaN,31400,0.0715,0.0922,20,75,1609.34,1139,ACSRTW,0.0715,4.44E-05,5.73E-05,1,0.023333333,0.049507412,2.121855667,0.135482223,1.31E-09
Bittern/TW,1272,<undefined>,NaN,NaN,0.3363,1.22,1198,235,1433,NaN,NaN,34600,0.0714,0.0919,20,75,1609.34,1145,ACSRTW,0.0714,4.44E-05,5.71E-05,1,0.023333333,0.050474342,2.121831104,0.135675295,2.34E-09
Pheasant/TW,1272,<undefined>,NaN,NaN,0.4605,1.264,1202,430,1632,NaN,NaN,44100,0.0711,0.0909,20,75,1609.34,1162,ACSRTW,0.0711,4.42E-05,5.65E-05,1,0.023333333,0.049765091,2.121931174,0.135635296,8.80E-10
Dipper/TW,1351.5,<undefined>,NaN,NaN,0.3465,1.256,1274,248,1522,NaN,NaN,36700,0.0672,0.0868,20,75,1609.34,1187,ACSRTW,0.0672,4.18E-05,5.39E-05,1,0.023333333,0.049720587,2.119957101,0.135865191,1.51E-09
Martin/TW,1351.5,<undefined>,NaN,NaN,0.4745,1.3,1278,456,1734,NaN,NaN,46800,0.0669,0.0858,20,75,1609.34,1205,ACSRTW,0.0669,4.16E-05,5.33E-05,1,0.023333333,0.050356857,2.1203224,0.135917517,1.84E-09
Bobolink/TW,1431,<undefined>,NaN,NaN,0.3567,1.291,1350,263,1613,NaN,NaN,38900,0.0635,0.0822,20,75,1609.34,1229,ACSRTW,0.0635,3.95E-05,5.11E-05,1,0.023333333,0.050313597,2.11841036,0.135754553,5.34E-09
Plover/TW,1431,<undefined>,NaN,NaN,0.4885,1.337,1353,483,1836,NaN,NaN,49600,0.0632,0.0812,20,75,1609.34,1248,ACSRTW,0.0632,3.93E-05,5.05E-05,1,0.023333333,0.049678653,2.118804718,0.135945213,6.67E-09
Lapwing/TW,1590,<undefined>,NaN,NaN,0.3759,1.358,1500,292,1792,NaN,NaN,42200,0.0572,0.0745,20,75,1609.34,1308,ACSRTW,0.0572,3.55E-05,4.63E-05,1,0.023333333,0.05017081,2.115286008,0.136236945,4.22E-09
Falcon/TW,1590,<undefined>,NaN,NaN,0.515,1.408,1503,537,2040,NaN,NaN,55100,0.0569,0.0735,20,75,1609.34,1330,ACSRTW,0.0569,3.54E-05,4.57E-05,1,0.023333333,0.049616798,2.115843123,0.136213834,3.01E-09
Chukar/TW,1780,<undefined>,NaN,NaN,0.437,1.445,1676,387,2063,NaN,NaN,50700,0.0509,0.0667,20,75,1609.34,1405,ACSRTW,0.0509,3.16E-05,4.14E-05,1,0.023333333,0.050790885,2.111630552,0.136530529,4.32E-09
Bluebird/TW,2156,<undefined>,NaN,NaN,0.4805,1.608,2047,468,2515,NaN,NaN,61100,0.0424,0.0554,20,75,1609.34,1585,ACSRTW,0.0424,2.63E-05,3.44E-05,1,0.023333333,0.050565318,2.108292918,0.136855923,2.61E-09
Monongahela/TW,405.1,<undefined>,NaN,NaN,0.152,0.68,380,61,441,NaN,NaN,10200,0.2236,0.2741,20,75,1609.34,568,ACSRTW,0.2236,0.000138939,0.000170318,1,0.01,0.019535111,2.094786415,0.1590818,5.46E-09
Mohawk/TW,571.7,<undefined>,NaN,NaN,0.309,0.846,537,198,735,NaN,NaN,20600,0.1572,0.1928,20,75,1609.34,717,ACSRTW,0.1572,9.77E-05,0.000119801,1,0.01,0.017663433,2.085042375,0.159148948,5.57E-09
Calumet/TW,565.3,<undefined>,NaN,NaN,0.3441,0.858,531,245,776,NaN,NaN,22900,0.1584,0.1942,20,75,1609.34,717,ACSRTW,0.1584,9.84E-05,0.000120671,1,0.01,0.017563893,2.08448982,0.159557728,2.19E-09
Mystic/TW,666.6,<undefined>,NaN,NaN,0.3333,0.913,626,230,856,NaN,NaN,24000,0.1348,0.1656,20,75,1609.34,790,ACSRTW,0.1348,8.38E-05,0.000102899,1,0.01,0.01702569,2.081388933,0.190442641,1.71E-09
Oswego/TW,664.8,<undefined>,NaN,NaN,0.3732,0.927,625,288,913,NaN,NaN,26600,0.1347,0.1654,20,75,1609.34,793,ACSRTW,0.1347,8.37E-05,0.000102775,1,0.01,0.016901429,2.080709537,0.167338368,8.48E-09
Nechako/TW,768.9,<undefined>,NaN,NaN,0.152,0.93,724,61,785,NaN,NaN,16400,0.1187,0.151,20,75,1609.34,832,ACSRTW,0.1187,7.38E-05,9.38E-05,1,0.01,0.015511979,2.072102471,0.198111263,7.42E-09
Maumee/TW,768.2,<undefined>,NaN,NaN,0.3585,0.977,722,266,988,NaN,NaN,27700,0.117,0.144,20,75,1609.34,862,ACSRTW,0.117,7.27E-05,8.95E-05,1,0.01,0.01642286,2.077889206,0.253641748,1.62E-09
Wabash/TW,762.8,<undefined>,NaN,NaN,0.3993,0.99,717,330,1047,NaN,NaN,30500,0.1174,0.1446,20,75,1609.34,863,ACSRTW,0.1174,7.29E-05,8.99E-05,1,0.01,0.016288124,2.077090573,0.273564783,2.38E-09
Kettle/TW,957.2,<undefined>,NaN,NaN,0.2919,1.06,903,176,1079,NaN,NaN,26000,0.0949,0.121,20,75,1609.34,962,ACSRTW,0.0949,5.90E-05,7.52E-05,1,0.01,0.014534514,2.065800588,0.258887432,2.25E-09
Fraser/TW,946.7,<undefined>,NaN,NaN,0.3462,1.077,894,248,1142,NaN,NaN,29600,0.0957,0.1217,20,75,1609.34,963,ACSRTW,0.0957,5.95E-05,7.56E-05,1,0.01,0.014519742,2.06575083,0.62369721,6.69E-10
Columbia/TW,966.2,<undefined>,NaN,NaN,0.4014,1.092,908,333,1241,NaN,NaN,34000,0.093,0.115,20,75,1609.34,993,ACSRTW,0.093,5.78E-05,7.15E-05,1,0.01,0.0154323,2.071806129,0.770279838,1.20E-09
Suwannee/TW,959.6,<undefined>,NaN,NaN,0.4479,1.108,903,415,1318,NaN,NaN,37000,0.0933,0.1152,20,75,1609.34,996,ACSRTW,0.0933,5.80E-05,7.16E-05,1,0.023333333,0.050346607,2.132765085,0.134649574,6.67E-10
Cheyenne/TW,1168.1,<undefined>,NaN,NaN,0.2778,1.155,1100,160,1260,NaN,NaN,28900,0.0779,0.1001,20,75,1609.34,1081,ACSRTW,0.0779,4.84E-05,6.22E-05,1,0.023333333,0.050450624,2.12399436,0.135318821,1.94E-09
Genesee/TW,1158,<undefined>,NaN,NaN,0.3234,1.165,1092,216,1308,NaN,NaN,31600,0.0785,0.1005,20,75,1609.34,1081,ACSRTW,0.0785,4.88E-05,6.24E-05,1,0.023333333,0.050267673,2.124463322,0.135319273,3.36E-09
Hudson/TW,1158.4,<undefined>,NaN,NaN,0.4401,1.196,1089,400,1489,NaN,NaN,39600,0.0776,0.0964,20,75,1609.34,1111,ACSRTW,0.0776,4.82E-05,5.99E-05,1,0.023333333,0.049996148,2.129959065,0.135236234,1.91E-09
Catawba/TW,1272,<undefined>,NaN,NaN,0.2901,1.203,1198,174,1372,NaN,NaN,31400,0.0715,0.0922,20,75,1609.34,1139,ACSRTW,0.0715,4.44E-05,5.73E-05,1,0.023333333,0.049507412,2.121855667,0.135482223,1.31E-09
Nelson/TW,1257.1,<undefined>,NaN,NaN,0.3345,1.213,1186,231,1417,NaN,NaN,34200,0.0723,0.093,20,75,1609.34,1137,ACSRTW,0.0723,4.49E-05,5.78E-05,1,0.023333333,0.049384776,2.122126658,0.135531717,2.89E-10
Yukon/TW,1233.6,<undefined>,NaN,NaN,0.455,1.245,1167,419,1586,NaN,NaN,42900,0.0733,0.0937,20,75,1609.34,1140,ACSRTW,0.0733,4.55E-05,5.82E-05,1,0.023333333,0.050121677,2.122543857,0.135579056,8.02E-11
Truckee/TW,1372.5,<undefined>,NaN,NaN,0.3012,1.248,1293,188,1481,NaN,NaN,33400,0.0663,0.0858,20,75,1609.34,1192,ACSRTW,0.0663,4.12E-05,5.33E-05,1,0.023333333,0.049843774,2.119720662,0.135770211,5.59E-09
Mackenzie/TW,1359.7,<undefined>,NaN,NaN,0.3477,1.259,1280,250,1530,NaN,NaN,36900,0.0668,0.0863,20,75,1609.34,1192,ACSRTW,0.0668,4.15E-05,5.36E-05,1,0.023333333,0.049729096,2.119886209,0.135723563,5.57E-10
Thames/TW,1334.6,<undefined>,NaN,NaN,0.472,1.29,1262,451,1713,NaN,NaN,46300,0.0677,0.0868,20,75,1609.34,1195,ACSRTW,0.0677,4.21E-05,5.39E-05,1,0.023333333,0.050493917,2.120463843,0.135676888,6.16E-09
St.Croix/TW,1467.8,<undefined>,NaN,NaN,0.3123,1.292,1383,202,1585,NaN,NaN,35800,0.062,0.0806,20,75,1609.34,1241,ACSRTW,0.062,3.85E-05,5.01E-05,1,0.023333333,0.050166265,2.11744359,0.135942087,2.19E-09
Miramichi/TW,1455.3,<undefined>,NaN,NaN,0.36,1.302,1372,268,1640,NaN,NaN,39200,0.0624,0.0809,20,75,1609.34,1241,ACSRTW,0.0624,3.88E-05,5.03E-05,1,0.023333333,0.048819183,2.117703228,0.135848058,3.86E-09
Merrimack/TW,1433.6,<undefined>,NaN,NaN,0.489,1.34,1356,484,1840,NaN,NaN,49700,0.0631,0.0811,20,75,1609.34,1250,ACSRTW,0.0631,3.92E-05,5.04E-05,1,0.023333333,0.049657436,2.11880864,0.135977627,4.81E-09
Platte/TW,1569,<undefined>,NaN,NaN,0.3222,1.334,1478,215,1693,NaN,NaN,38200,0.058,0.0758,20,75,1609.34,1291,ACSRTW,0.058,3.60E-05,4.71E-05,1,0.023333333,0.050511211,2.115063227,0.13595063,6.84E-09
Potomac/TW,1557.4,<undefined>,NaN,NaN,0.3723,1.345,1468,287,1755,NaN,NaN,41900,0.0583,0.0759,20,75,1609.34,1292,ACSRTW,0.0583,3.62E-05,4.72E-05,1,0.023333333,0.050360656,2.115667322,0.136262507,1.40E-09
RioGrande/TW,1533.3,<undefined>,NaN,NaN,0.506,1.382,1449,519,1968,NaN,NaN,53200,0.059,0.076,20,75,1609.34,1301,ACSRTW,0.059,3.67E-05,4.72E-05,1,0.023333333,0.050086086,2.117059703,0.136105293,1.78E-10
Schuylkill/TW,1657.4,<undefined>,NaN,NaN,0.384,1.386,1563,305,1868,NaN,NaN,44000,0.0548,0.0717,20,75,1609.34,1341,ACSRTW,0.0548,3.41E-05,4.46E-05,1,0.023333333,0.0507501,2.113477516,0.136192094,1.37E-09
Pecos/TW,1622,<undefined>,NaN,NaN,0.532,1.424,1533,574,2107,NaN,NaN,57500,0.0557,0.072,20,75,1609.34,1347,ACSRTW,0.0557,3.46E-05,4.47E-05,1,0.023333333,0.050496578,2.115164658,0.136282364,6.78E-09
PeeDee/TW,1758.6,<undefined>,NaN,NaN,0.3957,1.427,1658,324,1982,NaN,NaN,46700,0.0517,0.0679,20,75,1609.34,1389,ACSRTW,0.0517,3.21E-05,4.22E-05,1,0.023333333,0.049966338,2.111576965,0.136349599,7.55E-09
James/TW,1730.6,<undefined>,NaN,NaN,0.5375,1.47,1636,585,2221,NaN,NaN,59400,0.0522,0.0679,20,75,1609.34,1400,ACSRTW,0.0522,3.24E-05,4.22E-05,1,0.023333333,0.050788131,2.11275454,0.136467251,5.50E-09
Athabaska/TW,1949.6,<undefined>,NaN,NaN,0.4176,1.504,1838,361,2199,NaN,NaN,51900,0.0466,0.0608,20,75,1609.34,1488,ACSRTW,0.0466,2.90E-05,3.78E-05,1,0.023333333,0.050101932,2.111221605,0.136671144,2.82E-09
Cumberland/TW,1926.9,<undefined>,NaN,NaN,0.5665,1.545,1821,650,2471,NaN,NaN,65300,0.0469,0.0614,20,75,1609.34,1491,ACSRTW,0.0469,2.91E-05,3.82E-05,1,0.023333333,0.050405694,2.109402385,0.136633029,1.86E-09
Powder/TW,2153.8,<undefined>,NaN,NaN,0.4805,1.602,2030,468,2498,NaN,NaN,61100,0.0424,0.0554,20,75,1609.34,1583,ACSRTW,0.0424,2.63E-05,3.44E-05,1,0.023333333,0.050624574,2.108416698,0.136979008,3.03E-09
Santee/TW,2627.3,<undefined>,NaN,NaN,0.531,1.762,2477,571,3048,NaN,NaN,74500,0.0348,0.0468,20,75,1609.34,1768,ACSRTW,0.0348,2.16E-05,2.91E-05,1,0.023333333,0.050127242,2.0984608,0.137583061,4.11E-09
